Outcome,,Proportion of extension services that go to crops primarily produced by women,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Outcome,,Numbers of female/male extension workers,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
No level,,"Scores on literacy and numeracy tests and other national assessments, by sex, ethnicity, and location (rural or urban)",Australian Aid,,Education,Basic Education,,Human capital,,,,,,,,,,,not available,,,,,,,,,,,,,,,,
No level,,"Soil conservation, e.g. tree coverage, farm terraces and vegetation cover on rangeland among target and non-target population in supported districts",CIDA (Global Affairs Canada),,Agriculture,,,,,,,,,,,"-  Arial, satellite-based and/or panoramic photo survey -  Existing statistics on agricultural production levels -  survey: monitoring selected fields via sequential monitoring -  Farmersâ own assessment -  Farm budget surveys -  Market surveys on pricing and price structure -  Livestock count                                        ",,,not available,,,,,,,,,,,2006,,Intermediate objectives: A. Sustainable farming practices and increased agricultural production in supportedÂ districts,,,
No level,,Number of male/female farmers requesting support from the extensionists,CIDA (Global Affairs Canada),,Agriculture,,,,,,,,,,,"-  List of extension activities carried out including scan of recipientsâ gender -  Cost-sharing registries -  Sample surveys (i.e. by satellite) of farming practises focussing on sustainable management of soil, water, vegetation and animal resources                                ",,,not available,,,,,,,,,,,2006,,B 1. An extension system based on a demand- driven and gender-responsive approach is established in development areas (DA) in selectedÂ districts	,,,
No level,,Proportion of population living below national poverty line (women/ men),SIDA,,Basic Needs,,"A standard measure of poverty, which provides information on progress towards poverty-alleviation.",,,,,,,,,,,,not available,,,,,,,,,,Source:  CSD - Commission for Sustainable Development  MDG - Millennium Development Goals,2011,,,,,
No level,,National institutions with strengthened research capacities to deal with environmental problems,SIDA,,Natural Resource Management,,Measure of capacity for (applied) research at institutions.,,,,,,,,,,,,not available,,,,,,,,,,,2011,,,,,
No level,,Number or density of refugees/IDPs (women/men),SIDA,,Conflict Management,,Measures the number of people living as refugees or internally displaced people (IDP).,,,,,,,,,,,,not available,,,,,,,,,,UNHCR EU,2011,,,,,
No level,,Percentage of known water resources checked for quality and quantity,SIDA,,"Water, Sanitation, and Hygiene (WASH)",,Indication of the capacity of the government to monitor quality and quantity of the water resources.,,,,,,,,,,,,not available,,,,,,,,,,Rwanda ,2011,,,,,
No level,,Import of electronic waste (yes/no; amount),SIDA,,Energy,,"Process indicator indicating if and how much electronic waste is important. Electronic waste import can generate income but is associated with pollution, especially by chemicals.",,,,,,,,,,,,not available,,,,,,,,,,,2011,,,,,
No level,,Changes in threat status of species,SIDA,,Natural Resource Management,,"Measures the number of species in each category of the IUCN Red List (Least Concern, Near Threatened, Vulnerable, Endangered, Critically Endangered, Extinct in the Wild, Extinct)",,,,,,,,,,,,not available,,,,,,,,,,MDG OECD CSD IUCN,2011,,,,,
No level,,Obligations under the UNFCCC process are met (yes/no; year),SIDA,,Climate Change Adaptation & Disaster Risk Reduction,,A process indicator of general climate change awareness and capacity of the government to meet its international obligations.,,,,,,,,,,,,not available,,,,,,,,,,UNFCCC,2011,,,,,
No level,,Climate vulnerability assessment carried out (yes/no; trend),SIDA,,Climate Change Adaptation & Disaster Risk Reduction,,"Indicating if vulnerability assessments have been carried out to identify vulnerable regions, sectors and populations. Would also be good to assess if vulnerability information is used in planning.",,,,,,,,,,,,not available,,,,,,,,,,,2011,,,,,
No level,,Land-use change,SIDA,,,Land and agriculture,Measures changes in the distribution of land uses within a country over time and provides information on changes in the productive or protective uses of the land resource to facilitate sustainable land use planning and policy development.,,,,,,,,,,,,not available,,,,,,,,,,OECD CSD,2011,,,,,
No level,,Forestry share of GDP/year; or Forestry share of total export/year,SIDA,,Natural Resource Management,,Measure of a countryâs dependence on forestry (timber and non-timber forest products) and is thus a proxy for vulnerability to deforestation and forest degradation.,,,,,,,,,,,,not available,,,,,,,,,,WB,2011,,,,,
Output,1.3.2,"Number of natural resource assets created, maintained or improved to withstand conditions resulting from climate variability, change and natural and manmade disasters (type of assets) (adapted from Adaptation Fund, Jica, Sida)",USAID,,Climate Change Adaptation & Disaster Risk Reduction,Disaster Risk Reduction,"Number natural resource assets created, maintained, or improved to withstand conditions resulting from climate variability and change is a measure of physical adaptation efforts to withstand conditions resulting from climate variability and change.  âTypes of assets:â Roads; Government Buildings; Causeways; Airports; Schools; Training Centres; Hospitals, drinking water systems, other. ",,,,"Asset Type, Intervention Type (created, maintained, improved)",Positive,,,,,,,"Baseline, Midline, Endline",,,,,,,,Number of assets addressed during the project does not provide information about sustainability or effectiveness of these structures against the impacts of climate change. ,,"From DIG Ftf, Adaptation Fund, Jica, Sida",,,,,,
Outcome,1.4,Number of program social assistance beneficiaries participating in productive safety nets. ,USAID,,Climate Change Adaptation & Disaster Risk Reduction,Disaster Risk Reduction,"The number of people participating in USG-supported social assistance programming with productive components aimed at increasing community assets, household assets, or strengthening human capital. Productive safety nets are programs that protect and strengthen food insecure householdsâ physical and human capital by providing regular resource transfers in exchange for time or labor. Generally there are three kinds of activities that can provide the foundation of a âproductive safety netâ program. These are:  - Activities which strengthen community assets (e.g. public works); - Activities which strengthen human assets (e.g. literacy training, and HIV, prenatal and well-baby visits); and/or - Activities which strengthen household assets (e.g. livelihood diversification, agriculture extension, micro savings and credit) What sets productive safety nets apart from other social assistance programs is that the assistanceâa predictable resource transferâis provided in exchange for labor or to offset the opportunity cost of an investment of time. For this reason they are sometimes referred to as âconditionalâ safety net programs. Another difference is an expectation that, over time, individuals or households enrolled in a productive safety net program will âgraduateâ from that program.",,Number,,"Type of Asset strengthened: community assets, human assets/capital, and household assets, Duration (New: this is the first year the beneficiary participated in a productive safety net, Continuing: this beneficiary participated in the previous reporting year and continues to participate in the current reporting year), Sex",Positive,,,,Implementing partners,,"Reviews of Official Records, Field Monitoring",Annual ,,,,,,,,,,From DIG Matyas and Pelling,2012,,,,,
Output,1.4.2,Number/percentage of women and men on DRR committees/groups at the village level and central coordinating committees,Australian Aid,,Gender,Disaster Risk Reduction,,,,,,,,,,,,,not available,,,,,,,,,,From DIG Stated source: ADB and Australian Aid,,,,,,
Outcome,,"Number of laws, policies, or procedures drafted, proposed, or adopted to promote gender equality at the regional, national, or local level",USAID (U.S. Agency for International Development),GNDR 1,Gender,,"Any law, policy, or procedure designed to promote or strengthen gender equality at the regional, national or local level, which was developed or implemented with [USG/MC] assistance. To be counted, the law, policy, or procedure should have as its objective or intent one or more of the following: reducing an aspect of social, economic, or political inequality between women and men, girls and boys; ensuring that women and men, girls and boys, have equal opportunities to benefit from and contribute to social, political, economic, and cultural development; to realize their human rights; or to have access to/control over resources necessary to survive and thrive; or preventing gender related discrimination or compensating for past gender-related discrimination or historical disadvantage.  See the USAID PIRS for GNDR 1 for a more detailed definition.",,"Relevant Itemâindividual law, policy, or procedure that meets criteria described in definition.",,"stages of achievement: drafted/ presented for public/stakeholder consultation, presented for legislative or other official action, passed/adopted, implementation has begun.",Positive,,,,Project/program documents,,"Reviews of Official Records, Direct Direct Observations",not available,,,,,,,"Adopting policies supporting gender equality by institutions that manage resources and benefits is essential for achieving gender equity. This indicator measures the output of USG assistance that seeks to build the necessary or enabling conditions for the achievement of long- term, sustainable progress toward gender equality objectives across a wide range of sectors in which the USG provides assistance (e.g., reduced gender gaps in employment, income, political representation, or access to basic services).","This indicator is an intermediate measure representing the number of laws, policies, or procedures developed or implemented with [USG/MC] assistance, which are intended to promote gender equality and which are linked or presumed to be linked to the achievement of specific gender equality objectives. The indicator does not measure the quality of such laws, policies, or procedures, or the extent or quality of their implementation. The indicator does not measure outcome or impact-level progress against specific gender equality goals or objectives.",,"From DIG Comment for ""frequency of data collection"": Data for this indicator will be collected on an ongoing or periodic basis depending on the interval of project/program reporting, but will represent a simple count of relevant items in the reporting period.",,,,,,
Output,1.4.3,"Number of institutional policies, strategies or plans that are based on gender analysis of the different impacts of interventions on women, men, boys and girls",Australian Aid,,Climate Change Adaptation & Disaster Risk Reduction,,"Institutional refers to policies ,strategies, or plans developed by civil society organizations, local government or community groups  Gender analysis in this context refers to reports, protocols or meeting minutes referring to : 1) How will the different roles and status of women, men, girls and boys affect the work to be undertaken ( policy/ strategy/ plan)? 2) How will the anticipated results of the policy/ strategy/ plan affect women, men, girls and boys differently",,"Number of policies ,strategies, or plans",,"Type ( policies ,strategies, or plans)",Positive,,,,Program reports/ institutional capacity index,,Reviews of Official Records,Quarterly ,,,,,,,,"The indicator does not measure the quality of such laws, policies, or procedures, or the extent or quality of their implementation.",,From DIG Stated source: ADB and Australian Aid,,,,,,
Output,1.5.1,Percentage of trained key stakeholders who demonstrate an increase in knowledge on gender based violence risks and ways to respond,SC (Save the Children),,Gender,,"Stakeholders include MC staff, government , civil society and private sector partners.  Gender based violence risks includes, but not limited to : (a) Physical, sexual and psychological violence occurring in the family, including battering, marital rape, female genital mutilation and other harmful traditional practices , non-spousal violence and violence related to exploitation; (b) Physical, sexual and psychological violence occurring within the general community, including rape, sexual abuse, sexual harassment and intimidation in refugee camps, work, market, educational institutions and elsewhere. Ways to respond depend on the context but generally include 2 categories: (1) interventions to reduce gender based violence risks and (2) responding to GBV disclosures  interventions to reduce gender based violence risks can include activities at the individual, household or community level with an objective to prevent or mitigate GBV. This can include : adjustment of MC service location and facilities to reduce risks, engaging men and boys through community and couple dialogues promoting communication and nonviolent conflict resolution skills, design of separate safe shelter and WASH facilities etc. responding to GBV disclosures can include 2) psycho-social first aid; (3) guiding principles of working with GBV survivors (i.e., safety, confidentiality, respect, and nondiscrimination); and (4) how and where to refer any potential GBV survivors.",,Number of initiatives,,"Actor (MC internal, partners, CSO, government)",Positive,,,,Program reports,see GENDER INTEGRATION ALPHA INDICATORS MEASUREMENT GUIDE - AN ANNEX TO THE MERCY CORPS GENDER INTEGRATION DIG,Surveys,"Baseline, Midline, Endline",,,,,,,"The indicator tracks the extent gender- based violence (GBV) is intergraded into non - GBV focused programs in all sectors. Specifically, it tracks the intentionality and activities taken to mitigate violence and keep beneficiaries safe.","The indicator does not measure the quality of such initiatives, or the extent or quality of their implementation.",,From DIG child protection outcome indicators,,,,,,
Output,1.5.2,"Percentage of women, men, boys and girls who know when, where and how to report a gender based violence concern",SC (Save the Children),,Gender,,Measures whether beneficiaries understand what are gender based violence concerns and whether they were provided with information on how to report if they are subject to gender based violence or have related concerns,,Percentage of individuals,,"Sex, Age, Ethnicity, Wealth quartile",Positive,,,,Population-based Survey,,Surveys,"Baseline, Midline, Endline",,,,,,,,"Doesent measure scope of reporting or quality of response.  Data collection staff require training on appropriate questions in order to measure this indicator. In particular, staff require training to ensure they do not ask questions about specific GBV experiences, or try to identify or pressure women/girls to disclose experiences of GBV. Since there is the potential for some women/girls to choose to âdisclose themselvesâ during data collection, data collection staff should also be trained on (1) ethical guidelines for GBV research (2) psycho-social first aid; (3) guiding principles of working with GBV survivors (i.e., safety, confidentiality, respect, and nondiscrimination); and (4) how and where to refer any potential GBV survivors",,From DIG child protection outcome indicators,,,,,,
Output,1.5.3,"Changes in women, men adolescent boys and girls GBV attitudes",CARE International (Cooperative for Assistance and Relief Everywhere International),,Gender,,"GBV attitudes includes thoughts and beliefs people may have, and may be expressed through actions or observable behaviors regarding the following domains: domestic violence, female genital mutilation, early marriage, etc.",,Percentage of individuals,,"Sex, Age, Ethnicity, Wealth quartile",,,,,Population-based Survey,"see quantitative Section 9 survey questions using the Likert scale in ""CARE Guidelines for the implementation of Baseline study for womenâs empowerment programmes funded by Norad""",Surveys,"Baseline, Midline, Endline",,,,,,,,"Scales should be adapted to the local context Data collection staff require training on appropriate questions in order to measure this indicator. In particular, staff require training to ensure they do not ask questions about specific GBV experiences, or try to identify or pressure women/girls to disclose experiences of GBV. Since there is the potential for some women/girls to choose to âdisclose themselvesâ during data collection, data collection staff should also be trained on (1) ethical guidelines for GBV research (2) psycho-social first aid; (3) guiding principles of working with GBV survivors (i.e., safety, confidentiality, respect, and nondiscrimination); and (4) how and where to refer any potential GBV survivors.",,From DIG CARE/ USAID Toolkit for monitoring and evaluating GBV,,,,,,
Goal,1,Under 5 yr mortality rate (U5MR),WHO; UNICEF,WHOSIS,Child Health & Nutrition,,"The probability that a child born in a specific year or time period will die before reaching the age of five, if subject to current age-specific mortality rates (expressed as a rate per 1000 live births: number of deaths of children less than five years of age per 1000 live births*) *Live birth refers to the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of the pregnancy, which, after such separation, breathes or shows any other evidence of life - e.g. beating of the heart, pulsation of the umbilical cord or definite movement of voluntary muscles - whether or not the umbilical cord has been cut or the placenta is attached. Each product of such a birth is considered live born. -> Monitoring maternal, newborn and child health: understanding key progress indicators",,All children under 5,,"Sex, Location (urban/rural, major regions/provinces) and socio-economic characteristics (e.g.motherâs education, wealth quintile). Often disaggregated under-five mortality rates are presented for 10-year periods because of the rapid increase in sampling error if multiple categories are used. Censuses and surveys provide such detail; civil registration data usually does not include socio-economic variables but can provide the other disaggregations.",Negative,,,,"Age-specific mortality rates among children are calculated from birth and death data derived from civil registration, census, and/or household Surveys: Civil registration: Number of deaths by age and numbers of births and children in each age group are used to calculate age specific rates. This systems provides annual data. Census and Surveys: An indirect method is used based on questions to each woman of reproductive age as to how many children she has ever born and how many are still alive. The Brass method and model life tables are then used to obtain an estimate of under-five mortality. Surveys: A direct method is used based on birth history - a series of detailed questions on each child a woman has given birth to during her lifetime. To reduce sampling errors, the estimates are generally presented as period rates, for five or 10 years preceding the Survey.",,"Surveys, Census",End of Cycle ,,,,,,,Under- five mortality rate and infant mortality rate are leading indicators of the level of child health and overall development in countries. They are also MDG indicators.,"Under-five mortality calculated from household surveys is often subject to sampling and non-sampling errors and those derived from census or vital registration systems may also have non-sampling errors. Age misreporting, selection bias and recall bias can all negatively impact the accuracy of estimates of the under-five mortality rate. Underreporting of births and particularly early neonatal deaths is also very common. Pregnancy history data available in some DHS and other surveys may allow for measurement of stillbirths and a more accurate approach for capturing early neonatal deaths.",,"From DIG Comment for ""frequency of data collection"": At same interval as Demographic and Health Surveys - approximately every 5-10 years.",,,,,,
Goal,1,Infant mortality rate,WHO (World Health Organization),WHOSIS,Child Health & Nutrition,,"The probability of a child born in a specific year or period dying before reaching the age of one, if subject to age-specific mortality rates of that period. (expressed as a rate per 1000 live births: number of deaths of children less than one year of age per 1000 live births*) *Live birth refers to the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of the pregnancy, which, after such separation, breathes or shows any other evidence of life - e.g. beating of the heart, pulsation of the umbilical cord or definite movement of voluntary muscles - whether or not the umbilical cord has been cut or the placenta is attached. Each product of such a birth is considered live born.",,Infants 0-1 year of age,,"Sex, Location (urban/rural, major regions/provinces), Socio-economic characteristics (e.g.motherâs education, wealth quintile). Often disaggregated infant mortality rates are presented for 10-year periods because of the rapid increase in sampling error if multiple categories are used. Censuses and surveys provide such detail; civil registration data usually does not include socio-economic variables but can provide the other disaggregations.",Negative,,,,"Same limitations as under five mortality. It should be noted that the infant mortality from Surveys are exposed to recall bias, hence their estimates are derived from under-five mortality, which leads to a supplementary step to estimate infant mortality rates .",,"Reviews of Official Documents, Census, Surveys",End of Cycle ,,,,,,,Under- five mortality rate and infant mortality rate are leading indicators of the level of child health and overall development in countries. They are also MDG indicators.,,,"From DIG Comment for ""frequency of data collection"": At same interval as Demographic and Health Surveys - approximately every 5-10 years.",,,,,,
Outcome,1.1,Long-lasting insecticidal net use by children,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of children age 0-59 months who slept under an LLIN the previous night. ,,Children 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See Sick Child Module (MCHIP/USAID),Surveys,"Baseline, Midline, Endline",Number of children age 0-59 months in the survey.,Number children age 0-59 months that slept under an LLIN the previous night.,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE.",30 May 2014,,,,,
Outcome,1.1,Fully immunized childred - by 12 months (valud coverage),USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of youngest children age 12-23 months who received all doses of all vaccines according to the vaccination schedule by 12 months of age.,,Children age 12-23 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. KPC Survey used by NGOs",See Immunization Modukle (MCHIP/USAID),"Surveys, Census","Baseline, Midline, Endline",Number of youngest children age 12-23 months in the survey X100,Number of youngest children age 12-23 months who received all doses of all vaccines according to the vaccination schedule before the age of 12 months. ,,,,,See measurement guidance in link under Question Format,"Context Considerations from USAID Immunization Module (2014, page 4) To appropriately adapt the Routine Childhood Immunization KPC module for your program, the program management team should meet with both national- and local-level immunization officials to determine the following: 1) The vaccines included in the national immunization schedule and the vaccination schedule, 2) The home-based record on which routine administered vaccine doses are written and 3)Recent mass vaccination campaigns",,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY ROUTINE CHILDHOOD IMMUNIZATION MODULE",May 2014,,,,,
Outcome,1.1,Diarrhea management with zinc,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of children age 0-59 months with diarrhea in the two weeks preceding the survey who received zinc.,,Children 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See Sick Child Module (MCHIP/USAID),Surveys,"Baseline, Midline, Endline",Number of children age 0-59 months with diarrhea in the two weeks preceding the survey.,Number of children age 0-59 months with diarrhea in the two weeks preceding the survey who received zinc.,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE",May 2014,,,,,
Outcome,1.1,Diarrhea management with ORS and zinc,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of children age 0-59 months with diarrhea in the two weeks preceding the survey who received ORS and` zinc.,,Children 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See Sick Child Module (MCHIP/USAID),Surveys,"Baseline, Midline, Endline",Number of children age 0-59 months with diarrhea in the two weeks preceding the survey.,Number of children age 0-59 months with diarrhea in the two weeks preceding the survey who received ORS and zinc.,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE",May 2014,,,,,
Outcome,1.1,Diarrhea management with ORS,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of children age 0-59 months with diarrhea in the two weeks preceding the survey who received ORS.,,Children 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. KPC Survey used by NGOs",See Sick Child Module (MCHIP/USAID),"Surveys, Census","Baseline, Midline, Endline",Number of children age 0-59 months with diarrhea in the two weeks preceding the survey who received ORS.Number of children age 0-59 months with fast or difficult breathing in the two weeks preceding the survey X 100,Number of children age 0-59 months with diarrhea in the two weeks preceding the survey who received ORS.,,,,,See measurement guidance in link under Question Format,"Note timeframe limitations on data. Interview may need to explain criteria for diarrhea (see page 12 of Sick Child Module). Context Considerations USAID (2014) writes: To adapt the Sick Child KPC Module appropriately for your program, the program management team should determine the following: â¢ Which interventions is the project implementing (malaria, diarrhea, pneumonia)? â¢ What are the national Integrated Management of Childhood Illness (IMCI) policies?",,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE",May 2014,,,,,
Outcome,1.1,Care-seeking for fever,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of children age 0-59 months with fever in the two weeks preceding the survey for whom advice or treatment was sought from an appropriate health facility or provider.,,Children 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See Sick Child Module (MCHIP/USAID),Surveys,"Baseline, Midline, Endline",Number of children age 0-59 months with a fever in the two weeks preceding the survey.,Number of children age 0-59 months with fever in the two weeks preceding the survey for whom advice or treatment was sought from an appropriate provider.,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE",May 2014,,,,,
Output,1.1.1,Health systems performance regarding immunication services (Penta 3),USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of youngest children age 12-23 months who received a Penta 3 vaccine according to the vaccination card or motherâs recall at the time of the survey,,Youngest children 12-23 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See USAID/MCHIP Immunization Module,Surveys,"Baseline, Midline, Endline",,,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY ROUTINE CHILDHOOD IMMUNIZATION MODULE",May 2014,,,,,
Output,1.1.2,Caaregiver knowledge of child danger signs,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,Percentage of caregivers of children age 0-59 months who know at least two signs of childhood illness that require immediately seeking assessment and treatment by a health facility or provider outside of the home,,Caregivers of children age 0-59 months,,Sex,Positive,,,,"Nationally representative household Surveys, including DHS and MICS. Population based KPC Surveys",See Sick Child Module (MCHIP/USAID),Surveys,"Baseline, Midline, Endline",,,,,,,See USAID/MCHIP guidance (link under question format) for guidance and survey tool,,,"From DIG RAPID KNOWLEDGE, PRACTICES AND COVERAGE (KPC) SURVEY SICK CHILD MODULE",May 2014,,,,,
Goal,2,Prevalence of wasted children under five years of age,USAID (U.S. Agency for International Development),,Child Health & Nutrition,,"This indicator measures the percent of children 0-59 months who are acutely malnourished, as defined by a weight for height Z score < - 2. Although different levels of severity of wasting can be measured, this indicator measures the prevalence of all wasting, i.e. both moderate and severe wasting combined.",,Children 0-59 months,,Sex,Negative,,,,Population-based Survey and official DHS data (see notes below),See M&E Guidance on links R side of webpage: Volume 11; Volume 11 Annex A; Volume 8,Surveys,End of Cycle ,Total number of children 0-59 months in the sample with weight for height Z score data.,Total number of children 0-59 months in the sample with a weight for height Z score < -2. ,,,,,"Stunted, wasted, and underweight children under five years of age are the three major nutritional indicators. Wasting is an indicator of acute malnutrition. Children who are wasted are too thin for their height, and have a much greater risk of dying than children who are not wasted. See measurement guidance in link under Question Format",,,"From DIG Indicator Handbook 2014 Comment for ""frequency of data collection"": Data should be collected in the ZOI for baseline and in interim surveys approximately every two years subsequently. DHS dataare collected every five years. Information on the frequency of DHS by country can be obtained at:http://dhsprogram.com/What-We-Do/",,,,,,
